Action,Time,ISIN,Ticker,Name,Notes,ID,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Currency conversion fee,Currency (Currency conversion fee)
Market buy,2025-10-10 17:03:36,US67066G1040,NVDA,"Nvidia",,EOF40061882653,0.0071353700,187.0400000000,USD,1.33459960,,,1.00,"GBP",,,,
Market buy,2025-10-10 17:03:37,VGG794831062,LAES,"SEALSQ",,EOF40061882660,0.2409007200,5.5400000000,USD,1.33458998,,,1.00,"GBP",,,,
Market buy,2025-10-10 17:03:37,US5949181045,MSFT,"Microsoft",,EOF40061882663,0.0025972500,513.8500000000,USD,1.33459691,,,1.00,"GBP",,,,
Market buy,2025-10-10 17:03:37,US26740W1099,QBTS,"D-Wave Quantum",,EOF40061882672,0.0594207400,33.6900000000,USD,1.33458982,,,1.50,"GBP",,,,
Market buy,2025-10-10 17:03:38,US46222L1089,IONQ,"IonQ",,EOF40061882677,0.0183223500,72.8400000000,USD,1.33459997,,,1.00,"GBP",,,,
Market buy,2025-10-10 17:03:39,US68389X1054,ORCL,"Oracle",,EOF40061882685,0.0045451400,293.6300000000,USD,1.33458945,,,1.00,"GBP",,,,
Market buy,2025-10-10 17:18:53,US67066G1040,NVDA,"Nvidia",,EOF40061888623,0.0196313700,187.5600000000,USD,1.33407962,,,2.76,"GBP",,,,
Market buy,2025-10-10 17:18:53,US76655K1034,RGTI,"Rigetti Computing",,EOF40061888620,0.1103070400,46.2000000000,USD,1.33407990,,,3.83,"GBP",,,0.01,"GBP"
Market buy,2025-10-10 17:18:53,US02079K3059,GOOGL,"Alphabet (Class A)",,EOF40061888626,0.0084226300,237.5900000000,USD,1.33408844,,,1.50,"GBP",,,,
Market buy,2025-10-10 17:18:53,US26740W1099,QBTS,"D-Wave Quantum",,EOF40061888631,0.1495359600,34.0800000000,USD,1.33407997,,,3.83,"GBP",,,0.01,"GBP"
Market buy,2025-10-10 17:18:56,US46222L1089,IONQ,"IonQ",,EOF40061888660,0.0669683600,73.3100000000,USD,1.33408980,,,3.69,"GBP",,,0.01,"GBP"
Market buy,2025-10-10 17:18:56,VGG794831062,LAES,"SEALSQ",,EOF40061888663,0.5056248500,5.6200000000,USD,1.33408997,,,2.13,"GBP",,,,
Market buy,2025-10-10 17:18:59,US5949181045,MSFT,"Microsoft",,EOF40061888677,0.0055525400,514.1700000000,USD,1.33408854,,,2.14,"GBP",,,,
Interest on cash,2025-10-11 00:10:00,,,,"Interest on cash",c58271fb-df5d-40c7-abfd-8b7b93258bf4,,,,,,,0.01,"GBP",,,,
Interest on cash,2025-10-12 00:10:14,,,,"Interest on cash",e31bf5b3-d3b9-4bad-854e-4e33caec6f73,,,,,,,0.01,"GBP",,,,
Interest on cash,2025-10-13 00:10:09,,,,"Interest on cash",6e13d5d9-30eb-4e18-95e4-da838c386867,,,,,,,0.01,"GBP",,,,
Deposit,2025-10-13 07:03:00,,,,"Transaction ID: XND6VTXVQHJQXHF6",7a9792ed-5504-4049-b6b0-9249c0c79bb6,,,,,,,50.00,"GBP",,,,
Interest on cash,2025-10-14 00:09:50,,,,"Interest on cash",8ace56f0-ccee-42ca-b985-e221b623a06e,,,,,,,0.01,"GBP",,,,
Interest on cash,2025-10-15 00:09:44,,,,"Interest on cash",1bf792db-c0f1-426a-b89b-823b166b216d,,,,,,,0.02,"GBP",,,,
Interest on cash,2025-10-16 00:09:43,,,,"Interest on cash",5859eccd-9cb6-4077-b7a8-ccc6875eef3c,,,,,,,0.01,"GBP",,,,
